2026-06-03 22:30:20.538555 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:22.555669 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:24.571628 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:26.591093 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.1MB io=read=7.4KB/s write=2.7KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:28.607364 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.2MB io=read=0.2KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:30.622630 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.2MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:32.638856 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=1.6% rss=408.2MB io=read=0.2KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:34.654406 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.2MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:36.670638 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=1.6% rss=408.2MB io=read=4.0KB/s write=2.4KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:37.989260 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.network.socket_service._ensure_client | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Creating ResumableDicomSocketClient → 192.168.2.222:50052
2026-06-03 22:30:38.001036 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=request_lock_wait result=ok | stage-timing duration_ms=0.00 endpoint=Login
2026-06-03 22:30:38.023313 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=request_serialize result=ok | stage-timing duration_ms=0.04 endpoint=Login
2026-06-03 22:30:38.043078 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client._send_request_once | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | 📤 Sending Login request (76 bytes)
2026-06-03 22:30:38.043942 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=request_send result=ok | stage-timing duration_ms=0.40 endpoint=Login request_bytes=76
2026-06-03 22:30:38.130062 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=response_header_recv result=ok | stage-timing duration_ms=85.73 endpoint=Login
2026-06-03 22:30:38.131052 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=response_parse result=ok | stage-timing duration_ms=0.03 endpoint=Login
2026-06-03 22:30:38.131499 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client._send_request_once | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | 📥 Response parsed: status=success
2026-06-03 22:30:38.131937 | INFO     | pid=175140 tid=5364 | component=ipc role=main | modules.download_manager.network.socket_client.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=SocketDicomClient.send_request stage=request_total result=success | stage-timing duration_ms=130.91 endpoint=Login
2026-06-03 22:30:38.132454 | INFO     | pid=175140 tid=5364 | component=other role=main | PacsClient.app_handler._authenticate_with_socket | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Authenticated as: vahid (admin)
2026-06-03 22:30:38.132834 | INFO     | pid=175140 tid=5364 | component=other role=main | PacsClient.app_handler._authenticate_with_socket | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Token stored in TokenManager for socket requests
